zpid,address,cityname,state,zipcode,latitude,longitude,title,square_feet,price,bedrooms
2055331990,810 Division St,Nashville,TN,37203,36.15031,-86.780014,Modera Gulch,,1721,1
2055331990,810 Division St,Nashville,TN,37203,36.15031,-86.780014,Modera Gulch,,1980,2
2055331990,810 Division St,Nashville,TN,37203,36.15031,-86.780014,Modera Gulch,,3536,3
449972715,4800 Raleigh Lagrange Rd,Memphis,TN,38128,35.196552,-89.90205,Covington Hills,,900,1
449972715,4800 Raleigh Lagrange Rd,Memphis,TN,38128,35.196552,-89.90205,Covington Hills,,975,2
449972715,4800 Raleigh Lagrange Rd,Memphis,TN,38128,35.196552,-89.90205,Covington Hills,,1499,3
440268732,1350 W Taylor St,Sherman,TX,75092,33.65159,-96.629486,Sherman Park Village,,1150,1
440268732,1350 W Taylor St,Sherman,TX,75092,33.65159,-96.629486,Sherman Park Village,,1400,2
440268732,1350 W Taylor St,Sherman,TX,75092,33.65159,-96.629486,Sherman Park Village,,2100,3
457359574,960 Commerce St,Nashville,TN,37203,36.159615,-86.78443,The Everett-Nashville Yards,,2421,1
457359574,960 Commerce St,Nashville,TN,37203,36.159615,-86.78443,The Everett-Nashville Yards,,4840,2
458690766,517 SW B St,Bentonville,AR,72712,36.36645,-94.21118,Depot 16 Flats and Townhomes,,1215,1
458690766,517 SW B St,Bentonville,AR,72712,36.36645,-94.21118,Depot 16 Flats and Townhomes,,1725,2
458690766,517 SW B St,Bentonville,AR,72712,36.36645,-94.21118,Depot 16 Flats and Townhomes,,2315,3
458390033,4445 N Lincoln Blvd,Oklahoma City,OK,73105,35.516632,-97.503815,The Presley Apartments,,1100,1
458390033,4445 N Lincoln Blvd,Oklahoma City,OK,73105,35.516632,-97.503815,The Presley Apartments,,1350,2
450869750,12161 Lackland Rd #9675,Saint Louis,MO,63146,38.697166,-90.447556,"St. Louis - Westport - Central, Plan A",300.0,1709,0
2095116911,1 N Main St,Algonquin,IL,60102,42.167503,-88.2912,Riverwalk on Main,,1995,1
2095116911,1 N Main St,Algonquin,IL,60102,42.167503,-88.2912,Riverwalk on Main,,2315,2
2074006058,1515 Lewis St,Indianapolis,IN,46202,39.787228,-86.1393,Wesmont,,1099,0
2074006058,1515 Lewis St,Indianapolis,IN,46202,39.787228,-86.1393,Wesmont,,1299,1
2074006058,1515 Lewis St,Indianapolis,IN,46202,39.787228,-86.1393,Wesmont,,1549,2
458674632,420 E Archer St,Tulsa,OK,74120,36.159176,-95.98745,The View Residences,,1295,1
